,,Answers (1-2-3-4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
answer-sheet-image,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1-1-64011211046,64011211096,3,1,3,2,2,2,2,3,1,2,3,2,1,1,4,4,1,1,3,0,1,1,2,2,3,4,3,3,4,3,1,3,4,1,4,4,4,4,1,2,1,2,4,4,4,2,2,1,3,4
1-2-62011211128,64011211128,2,1,4,2,2,2,2,4,2,1,3,2,4,4,4,4,1,1,2,0,4,2,3,1,4,2,2,1,4,2,1,2,4,1,4,1,1,1,1,4,1,4,3,4,2,1,4,4,4,1
1-3-64011270025,64011270025,3,1,3,2,4,2,2,3,2,1,4,2,3,4,3,3,4,1,1,0,4,2,1,4,1,1,3,4,2,2,1,4,4,1,3,1,1,4,3,4,4,2,1,1,2,4,4,1,1,1
1-4-64011211106,64011211106,2,1,3,2,1,2,2,3,4,3,3,1,4,4,4,4,4,1,3,0,2,1,3,3,1,3,3,4,4,2,1,1,3,3,4,4,4,2,3,1,3,4,1,2,2,2,4,1,4,4
1-5-64011211110,64011211110,3,2,3,2,1,2,2,1,3,3,3,4,3,4,3,4,2,3,1,0,3,1,4,1,4,4,2,1,4,3,1,3,4,1,4,4,1,3,2,4,4,4,4,2,4,2,3,4,3,4
1-6-64011211040,64011211040,3,1,3,2,1,2,2,3,4,4,3,4,3,4,4,4,4,1,3,0,2,1,1,3,1,3,4,4,1,3,3,1,4,3,4,2,3,2,2,4,3,4,4,2,4,4,4,1,2,4
1-7-64011211090,64011211090,3,4,3,2,1,3,2,3,1,2,3,4,4,4,3,2,3,1,3,0,3,3,1,2,1,4,3,4,2,2,2,4,4,1,2,4,4,1,3,3,3,4,4,3,1,3,2,1,1,4
1-8-64011211094,64011211094,3,1,3,2,2,2,2,3,3,4,4,3,1,4,4,1,3,1,1,0,1,1,2,4,1,3,2,4,1,1,4,4,4,1,2,3,1,3,1,4,4,4,1,3,3,2,3,1,2,4
1-9-63011211090,63011211090,3,4,3,2,2,4,2,3,2,2,3,3,1,4,4,4,4,1,1,0,2,3,4,2,3,3,1,4,3,3,3,4,3,1,3,1,1,3,4,2,2,1,2,2,2,2,4,1,1,4
1-10-63011211110,63011211110,3,3,3,4,4,1,2,3,2,3,3,4,4,4,3,3,1,2,2,0,4,2,2,3,2,3,3,4,3,3,3,4,3,2,2,1,1,4,4,3,2,1,3,2,3,3,2,1,3,4
1-11-64011211012,64011211012,3,4,3,2,2,2,2,3,4,2,3,4,3,4,4,3,4,1,3,0,2,3,4,3,1,3,4,4,1,2,1,3,4,1,2,4,4,3,1,1,1,3,3,2,3,2,4,2,1,1
1-12-64011211039,64011211039,2,1,3,2,4,2,2,4,4,2,3,2,4,4,2,4,4,1,1,0,3,1,3,4,1,4,1,4,4,1,2,2,2,4,4,4,1,2,3,2,4,2,3,1,1,4,1,4,4,1
1-13-64011211010,64011211010,2,1,3,2,1,2,2,3,4,3,3,2,3,2,3,3,4,1,4,0,2,2,2,3,1,4,4,1,3,1,1,2,4,1,2,4,4,3,1,1,3,1,3,1,4,2,2,3,3,4
1-14-64011211118,64011211118,3,1,1,2,4,2,1,3,4,2,4,2,3,4,2,4,1,1,1,0,2,2,1,1,3,2,4,1,1,3,1,2,4,1,2,2,1,3,2,1,4,2,2,3,3,4,2,2,3,3
2-1-64011211041,64011211041,3,1,3,2,2,1,2,4,2,2,3,4,1,4,4,4,1,1,3,0,2,2,2,3,1,3,1,3,3,1,3,1,1,3,2,2,2,1,3,2,3,1,3,4,2,4,4,1,2,4
2-2-64011211065,64011211065,3,3,3,2,2,2,2,4,4,3,3,1,4,4,3,4,4,1,3,0,1,2,4,4,2,3,4,4,3,1,2,2,4,1,4,2,4,3,1,2,3,1,2,2,4,2,3,1,2,4
2-3-62011211002,64011211002,3,3,3,2,3,2,2,3,4,3,3,2,3,3,3,3,3,1,1,0,2,1,2,3,4,3,3,4,4,2,1,2,4,3,4,1,1,1,3,4,4,4,4,3,2,2,1,2,2,1
2-4-64011211066,64011211066,3,3,3,2,1,2,2,3,4,3,3,1,4,4,3,3,4,1,4,0,2,1,4,3,1,3,4,4,2,2,1,2,4,3,4,4,1,1,1,4,4,4,4,2,1,2,3,2,1,4
2-5-64011211142,64011211142,2,1,4,2,1,3,2,3,4,3,3,1,4,4,4,3,4,1,1,0,2,3,3,3,1,3,3,4,4,2,1,1,3,4,4,4,4,2,3,1,3,4,1,1,2,2,4,1,4,4
2-6-64011211033,64011211033,3,1,3,2,2,2,3,2,2,2,3,4,4,4,4,3,4,1,1,0,3,2,2,1,1,3,4,4,2,2,1,1,4,1,2,4,4,2,3,4,4,2,3,4,3,4,4,3,2,1
2-7-64011211138,64011211038,3,1,3,2,4,2,2,3,4,0,3,2,1,3,4,4,4,1,3,0,2,3,2,3,1,3,1,1,2,2,1,4,3,1,2,1,1,2,1,4,4,2,3,1,4,2,1,3,3,4
2-8-64011211123,64011211123,3,2,3,2,2,4,2,1,4,3,3,2,4,4,3,3,4,1,2,0,3,2,1,3,3,3,1,4,1,4,3,2,4,3,4,3,2,4,3,2,3,2,4,2,3,4,2,3,2,1
3-1-64011211014,64011211014,3,1,3,2,2,4,2,3,4,1,3,3,4,4,4,3,1,1,1,0,4,1,2,4,4,4,3,1,1,1,1,2,4,1,2,3,2,4,1,2,3,4,1,3,1,2,3,1,3,4
3-2-64011211020,64011211020,3,1,3,2,4,1,2,1,4,1,3,4,1,4,2,4,4,1,4,0,2,2,3,3,1,4,2,4,2,2,1,3,4,3,2,3,3,2,1,3,2,4,4,2,2,2,1,2,1,4
3-3-64011211018,64011211018,3,1,3,2,2,4,2,3,4,2,4,4,1,4,3,4,4,1,4,0,2,3,4,3,1,4,3,4,4,3,3,2,4,2,4,1,3,2,3,4,4,4,1,2,3,2,4,3,4,1
